t;s1;s2;s3;phi;ins;
1603541192.791873;153.5;95.6;142.0;24.704543301648414;0;0;
1603541193.0042665;153.9;96.1;141.6;28.570323148434056;0;1024;
1603541193.2171812;153.3;97.0;141.0;29.82086121871339;-1024;1024;
1603541193.429651;150.8;95.5;141.4;22.702763610609622;0;0;
1603541193.642768;124.9;96.5;138.4;357.29408119172604;0;0;
1603541193.8558772;125.1;97.2;137.8;345.8020434313113;0;0;
1603541194.0691283;125.1;96.7;138.2;348.0026224957215;1024;1024;
1603541194.281965;125.6;98.0;137.8;346.24958503286666;1024;1024;
1603541194.4955447;120.7;97.1;137.2;344.13646843062213;1024;1024;
1603541194.7079115;113.5;94.5;139.1;346.59380226350675;1024;1024;
1603541194.9203773;110.0;92.5;139.2;339.0284433288398;1024;1024;
1603541195.1467075;101.0;90.4;23.4;334.01470444434335;1024;1024;
1603541195.3732278;105.1;91.2;24.9;336.1364033128275;1024;1024;
1603541195.6123734;90.9;87.1;27.5;331.23142973941106;1024;1024;
1603541195.8492005;90.4;85.3;29.9;324.41350311573547;1024;1024;
1603541196.088047;83.0;81.3;28.8;331.7821738059691;0;0;
1603541196.3267643;75.6;71.7;99.0;331.53710789029714;1024;-1024;
1603541196.5637612;70.4;70.2;97.8;333.184439650569;1024;-1024;
1603541196.776999;106.1;70.1;103.5;349.21495455115854;1024;-1024;
1603541196.9902024;130.3;67.8;105.3;32.26432893240798;0;0;
1603541197.2034833;131.8;64.1;107.3;56.64733985521764;0;0;
1603541197.4169145;131.8;64.1;107.4;56.06448081974338;1024;1024;
1603541197.629652;131.8;63.8;106.5;55.46740672715964;1024;1024;
1603541197.842902;130.3;62.1;104.2;67.30451201142961;1024;1024;
1603541198.0683393;122.6;65.2;95.6;75.0575299066287;1024;1024;
1603541198.2812517;113.2;62.8;100.5;81.17328864968363;1024;1024;
1603541198.5084648;111.6;63.7;87.6;82.68559830402444;1024;1024;
1603541198.7345665;104.5;62.2;87.1;77.6778697892542;1024;1024;
1603541198.9729543;98.1;61.8;83.4;87.4639383030846;1024;1024;
1603541199.19947;106.1;59.0;78.8;78.50658931450522;1024;1024;
1603541199.4372659;85.5;67.7;71.1;82.09127850413745;1024;1024;
1603541199.6623595;102.2;71.0;71.7;81.68355450003395;1024;1024;
1603541199.8995614;92.0;63.7;67.2;83.84755024196636;1024;1024;
1603541200.138674;84.3;68.8;78.6;79.33897090860285;1024;1024;
1603541200.376441;59.5;81.3;58.3;77.52902261664269;1024;1024;
1603541200.614372;52.7;84.3;53.1;73.44471120895719;0;0;
1603541200.851802;58.9;91.3;45.7;81.07949829414048;0;0;
1603541201.0903645;40.3;94.9;44.3;75.30924356252973;0;0;
1603541201.3282008;42.0;94.9;44.0;69.67507592360414;0;0;
1603541201.5656781;41.2;94.4;44.8;74.8361470191366;-1024;1024;
1603541201.8043458;39.6;92.2;43.7;75.54788867484507;-1024;1024;
1603541202.0422208;36.6;91.2;38.1;45.142812875785864;-1024;1024;
1603541202.2796788;36.9;93.2;38.6;8.631363338906112;-1024;1024;
1603541202.4926925;109.9;106.6;52.5;337.53937877935306;-1024;1024;
1603541202.7323077;95.6;95.4;35.9;315.18907681345684;-1024;1024;
1603541202.9714165;93.5;96.0;33.6;287.5187253905397;-1024;1024;
1603541203.1970108;96.8;104.4;35.1;272.66707409176087;0;0;
1603541203.423157;104.6;43.5;102.0;254.12441407191847;1024;1024;
1603541203.636645;104.2;43.2;96.3;246.68285246608372;1024;1024;
1603541203.862991;101.9;45.6;93.7;245.7152039603809;1024;1024;
1603541204.1010337;95.4;49.7;88.1;247.01266136978157;1024;1024;
1603541204.3391762;91.1;57.5;85.0;247.64953967747425;1024;1024;
1603541204.5775476;82.5;97.8;80.2;249.2951693493601;1024;1024;
1603541204.814683;101.1;67.8;67.5;245.9098305153765;1024;1024;
1603541205.041121;156.7;68.9;69.9;244.66952075803925;1024;1024;
1603541205.266606;118.5;72.5;67.0;245.2681677865009;1024;1024;
1603541205.4930944;111.7;76.4;64.7;247.44099110384423;1024;1024;
1603541205.7199948;130.2;81.1;61.9;246.83203710634893;1024;1024;
1603541205.947129;120.2;86.3;60.0;244.71538061568705;0;0;
1603541206.1734746;111.1;90.9;59.4;242.05541029857307;-1024;1024;
1603541206.3983274;112.1;90.7;57.2;243.63010677933295;-1024;1024;
1603541206.6234624;145.4;89.2;60.3;229.50230722656136;0;0;
1603541206.849547;154.3;89.7;68.3;222.654618925414;0;0;
1603541207.074484;298.0;90.0;69.7;212.05368175584377;0;0;
1603541207.3006809;297.2;90.8;70.1;210.7631021943236;1024;-1024;
1603541207.5264716;423.7;91.2;70.5;211.01875890285987;0;0;
1603541207.763975;139.3;89.9;59.1;212.58804507563494;0;0;
1603541207.989864;139.7;90.4;59.0;224.19734151248943;1024;1024;
1603541208.21625;141.5;89.9;58.6;223.93075920247526;1024;1024;
1603541208.4424646;137.4;89.5;61.3;223.9703608485918;1024;1024;
1603541208.6695547;130.7;90.6;62.4;223.2647038466004;1024;1024;
1603541208.8964202;121.0;91.1;72.6;217.92950715912525;1024;1024;
1603541209.1229784;113.5;30.7;73.1;220.62205037500752;1024;1024;
1603541209.3480575;104.8;31.4;82.9;218.76145454338365;1024;1024;
1603541209.573092;97.9;32.1;77.5;216.27531265237567;1024;1024;
1603541209.8116422;91.5;33.2;79.6;219.16968664653547;1024;1024;
1603541210.0505295;85.9;34.6;77.4;217.77789533040186;1024;1024;
1603541210.2881508;92.2;155.5;77.4;218.77943514263643;0;0;
1603541210.5157979;87.4;158.0;76.4;219.94123569636128;-1024;1024;
1603541210.7419817;91.8;157.2;77.1;222.0316512694386;-1024;1024;
1603541210.9682593;91.7;153.3;75.6;213.9938945362457;0;0;
1603541211.1826413;354.7;154.2;76.7;192.98923920516654;0;0;
1603541211.3956554;354.6;155.1;76.3;186.24501893773845;-1024;1024;
1603541211.6094184;356.8;155.5;77.6;188.31482381640745;-1024;1024;
1603541211.8221471;356.7;155.6;82.1;191.0743102551441;0;0;
1603541212.047413;1;134.9;86.1;185.89241542853202;1024;1024;
1603541212.261628;163.6;142.7;80.0;165.40881009186452;1024;1024;
1603541212.4636054;157.8;143.2;126.0;165.8524974485485;1024;1024;
1603541212.678126;154.4;157.9;79.7;169.1657063605892;1024;1024;
1603541212.8793418;149.0;149.8;107.4;173.03093391440922;1024;1024;
1603541213.0926929;141.1;145.2;149.8;167.37379141691596;1024;1024;
1603541213.2945712;138.7;143.3;114.2;169.57464520042907;1024;1024;
1603541213.507987;259.4;36.4;166.4;172.05781831829853;1024;1024;
1603541213.7225332;255.3;36.7;196.7;169.01530238445426;1024;1024;
1603541213.9363601;246.2;42.3;183.4;168.34934649718699;1024;1024;
1603541214.1511889;236.3;44.7;197.7;169.6605485968811;1024;1024;
1603541214.3640587;231.7;47.6;200.8;173.0840210067754;1024;1024;
1603541214.5776472;223.2;50.9;209.4;163.52407241819242;1024;1024;
1603541214.7905152;124.6;55.6;208.9;162.55440410572862;1024;1024;
1603541215.0037658;122.3;58.4;207.9;165.45543076223478;1024;1024;
1603541215.2165146;109.9;61.4;212.3;161.5167814607314;1024;1024;
1603541215.4292433;102.5;89.4;219.1;156.05796052732387;1024;1024;
1603541215.654826;99.4;68.1;222.3;159.0831483907437;1024;1024;
1603541215.8680327;179.1;70.2;228.3;160.6666984146734;1024;1024;
1603541216.0809863;169.0;69.6;153.6;156.67953580349024;1024;1024;
1603541216.294468;164.2;72.5;148.4;159.4679653000162;1024;1024;
1603541216.5087452;156.5;75.4;143.4;157.8842840166047;1024;1024;
1603541216.7229726;146.5;79.9;138.7;159.75579188616675;1024;1024;
1603541216.9355326;142.8;80.8;137.0;153.87487582964846;1024;1024;
1603541217.1499846;133.9;82.8;135.2;157.06339255802183;1024;1024;
1603541217.363799;125.4;87.7;126.7;159.71996428434454;1024;1024;
1603541217.5773585;116.7;90.7;121.6;159.47592057872643;1024;1024;
1603541217.7909756;113.0;90.0;124.5;154.14421573076717;1024;1024;
1603541218.0057838;104.7;77.1;118.0;155.01664078736835;1024;1024;
1603541218.244641;96.5;81.1;19.6;158.5940545613368;1024;1024;
1603541218.481816;91.8;79.3;17.2;158.4153888115185;0;0;
1603541218.7192614;81.3;84.2;9.9;159.23703424307027;-1024;1024;
1603541218.9570632;76.4;84.9;10.7;156.88518599798547;-1024;1024;
1603541219.1958668;76.2;87.6;10.4;162.31491113471463;-1024;1024;
1603541219.4353049;77.9;100.8;10.1;150.69616741602724;0;0;
1603541219.6621644;78.8;101.4;9.6;144.0023485194475;0;0;
1603541219.889175;78.7;113.1;9.5;132.10911190228663;1024;1024;
1603541220.114193;79.1;101.0;9.5;135.02831449205925;1024;1024;
1603541220.3392563;77.0;108.1;10.1;138.13941117945808;1024;1024;
1603541220.5648525;67.5;101.0;10.6;132.79146858579136;1024;1024;
1603541220.8039334;59.6;99.4;11.7;138.68420011779176;1024;1024;
1603541221.0426376;52.9;99.0;11.6;137.8770309525737;1024;1024;
1603541221.281202;48.2;97.5;12.4;139.29417193212996;1024;1024;
1603541221.5207253;43.9;96.7;14.4;146.06448081974338;1024;1024;
1603541221.758819;62.9;95.9;15.3;143.73769642930543;1024;1024;
1603541221.9967942;55.9;95.9;16.4;145.35626070162738;1024;1024;
1603541222.2354589;47.4;97.2;17.0;148.4157303321075;1024;1024;
1603541222.4737086;40.8;96.7;17.0;151.3487930876453;0;0;
1603541222.7116995;33.3;95.7;17.9;157.38935967649243;-1024;1024;
1603541222.9503477;33.9;95.1;21.3;160.17342053436613;-1024;1024;
1603541223.1752164;110.2;99.7;19.7;143.57252324002485;-1024;1024;
1603541223.388133;101.5;108.2;34.7;111.50556088569317;-1024;1024;
1603541223.6141438;98.3;105.4;33.0;79.20017807707922;0;0;
1603541223.8388362;97.3;105.4;32.3;59.17999562720587;1024;1024;
1603541224.0637045;96.5;106.5;32.2;50.009104843853436;1024;1024;
1603541224.2887182;89.4;107.3;30.5;54.66584875209088;1024;1024;
1603541224.5144846;82.2;110.3;28.1;60.848564179753396;1024;1024;
1603541224.7414062;75.6;113.2;27.0;66.16967756051042;1024;1024;
1603541224.967141;66.9;119.2;26.5;67.84331871144957;1024;1024;
1603541225.1931798;63.4;119.1;26.2;67.20530721814339;0;0;
1603541225.419195;55.8;125.1;25.7;67.105999182706;-1024;1024;
1603541225.6460779;49.5;128.6;25.2;68.20785217574934;-1024;1024;
1603541225.8716748;47.9;128.4;25.0;48.836644352988;-1024;1024;
1603541226.097384;48.1;130.2;29.6;22.957605769456052;-1024;1024;
1603541226.3229902;192.7;69.3;47.1;351.084460315723;-1024;1024;
1603541226.5494893;133.9;69.2;43.9;323.0265936879922;0;0;
1603541226.7757652;131.1;74.1;43.2;294.0342596114738;0;0;
1603541227.0017135;131.3;75.7;50.5;275.90135526542406;0;0;
1603541227.226314;131.7;76.5;50.5;277.2671428682182;1024;-1024;
1603541227.4514017;130.8;76.5;50.5;276.4970311404379;1024;-1024;
1603541227.6771636;132.0;71.8;44.3;277.9562611964608;0;0;
1603541227.9037426;134.6;68.7;43.9;304.0295664890932;0;0;
1603541228.1297297;390.1;68.5;44.9;328.9771107070738;0;0;
1603541228.3556743;389.2;68.9;45.4;327.6343045774988;0;0;
1603541228.5805187;390.5;68.9;44.9;327.01319013512864;0;0;
